INT	STRING	STRING	FLOAT	STRING
30	BOSS_SPAWN_HEIGHT_1	Boss首次出现高度	100	Boss第一次出现的高度
31	BOSS_SPAWN_HEIGHT_2	Boss第二次出现高度	3000	Boss第二次出现的高度
32	BOSS_SPAWN_HEIGHT_3	Boss第三次出现高度	5000	Boss第三次出现的高度
33	BOSS_SPAWN_REPEAT_INTERVAL	Boss循环出现间隔	2000	第三次之后每隔多少分再次出现Boss
34	CHARGE_DASH_DISTANCE_PER_SEGMENT	蓄力每段距离加成	50	每段蓄力为蓄力冲刺额外增加的高度距离
35	CHARGE_DASH_HEIGHT_RATIO_MAX	蓄力冲刺高度系数上限	0.5	高度系数最大值，避免蓄力冲刺增长过高
36	RUN_BUFF_OFFER_START_HEIGHT	增益首次出现高度	600	达到该高度后首次弹出三选一增益
37	RUN_BUFF_OFFER_INTERVAL	增益出现间隔	900	后续每隔多少高度再次弹出三选一增益
38	RUN_GOAL_REWARD_COINS	随机目标奖励金币	28	完成随机目标时奖励的金币数
39	RUN_GOAL_COIN_TARGET	金币目标数量	12	随机目标“收集金币”的目标数量
40	RUN_GOAL_MOVING_TARGET	移动平台目标数量	4	随机目标“踩移动平台”的目标数量
41	RUN_GOAL_CHARGE_TARGET	冲刺目标数量	2	随机目标“释放蓄力冲刺”的目标数量
42	RUN_GOAL_SPECIAL_TARGET	特殊平台目标数量	3	随机目标“踩特殊平台”的目标数量
43	THEME_EVENT_DURATION_HEIGHT	主题事件持续高度	450	每个主题事件持续的高度区间
44	THEME_EVENT_REPEAT_INTERVAL	主题事件循环间隔	1800	地标主题列表播完后循环触发的高度间隔
45	PLATFORM_SPECIAL_CHARGE_CHANCE	充能平台概率	0.12	普通生成平台附带充能效果的概率
46	PLATFORM_SPECIAL_RESONANCE_CHANCE	共鸣平台概率	0.14	普通生成平台附带共鸣效果的概率
47	PLATFORM_SPECIAL_RISK_CHANCE	风险平台概率	0.1	普通生成平台附带高风险高奖励效果的概率
48	PLATFORM_SPECIAL_RISK_WIDTH_SCALE	风险平台宽度比例	0.72	风险平台相对原平台宽度的缩放比例
49	PLATFORM_SPECIAL_RISK_REWARD_COINS	风险平台奖励金币	5	踩中风险平台时立即获得的金币奖励
50	PLATFORM_SPECIAL_CHARGE_BONUS	充能平台额外蓄力	1	踩中充能平台时额外增加的蓄力段数
51	PLATFORM_RESONANCE_STREAK_REQUIREMENT	共鸣触发连踩数	3	连续踩到同色共鸣平台多少次触发奖励
52	PLATFORM_RESONANCE_BONUS_FORCE	共鸣额外跳跃力	4.5	共鸣触发时额外增加的向上跳跃力度
53	BOSS_CHARGE_DASH_INTERRUPT_RADIUS	蓄力打断Boss半径	125	蓄力冲刺命中Boss的判定半径
54	BOSS_CHARGE_DASH_REWARD_COINS	Boss打断奖励金币	32	蓄力冲刺成功打断Boss时奖励的金币数
55	RUN_BUFF_MAGNET_RADIUS_BONUS	磁吸增益范围加成	28	三选一磁吸增益提供的拾币范围
56	RUN_BUFF_MOVING_SLOW_SCALE	缓速增益平台倍率	0.72	三选一缓速增益对移动平台速度的乘区倍率
57	RUN_BUFF_DASH_SEGMENT_BONUS	冲刺增益额外段数	1	三选一冲刺增益为蓄力冲刺额外增加的段数
58	RUN_BUFF_COMBO_THRESHOLD	连跳增益触发阈值	6	连跳增益每达到多少连跳触发一次奖励
59	RUN_BUFF_COMBO_COIN_BONUS	连跳增益奖励金币	8	连跳增益触发时奖励的金币数
60	RUN_BUFF_BOSS_REWARD_BONUS	Boss赏金增益奖励	24	三选一Boss赏金增益提供的额外金币数
61	PICKUP_SPAWN_START_HEIGHT	道具生成起始高度	300	达到该高度后平台开始有概率挂载道具
62	PICKUP_NEGATIVE_START_HEIGHT	负面道具起始高度	1200	达到该高度后开始混入负面道具
63	PICKUP_POSITIVE_CHANCE_LOW	低空正面道具概率	0.12	低空阶段平台生成正面道具的基础概率
64	PICKUP_POSITIVE_CHANCE_HIGH	高空正面道具概率	0.16	高空阶段平台生成正面道具的基础概率
65	PICKUP_NEGATIVE_CHANCE_HIGH	高空负面道具概率	0.08	高空阶段平台生成负面道具的基础概率
66	PICKUP_PLATFORM_BONUS_MOVING	移动平台道具概率加成	0.05	移动平台额外增加的道具生成概率
67	PICKUP_PLATFORM_BONUS_RISK	风险平台道具概率加成	0.08	风险平台额外增加的道具生成概率
68	PICKUP_PLATFORM_PENALTY_CHARGE	充能平台道具概率减成	0.03	充能平台降低的道具生成概率
69	PICKUP_PLATFORM_PENALTY_RESONANCE	共鸣平台道具概率减成	0.02	共鸣平台降低的道具生成概率
70	PICKUP_PLAYER_SPEED_MULTIPLIER_MIN	玩家移速倍率下限	0.65	限时道具叠加后玩家移速倍率的最小值
71	PICKUP_PLAYER_SPEED_MULTIPLIER_MAX	玩家移速倍率上限	1.5	限时道具叠加后玩家移速倍率的最大值
72	PICKUP_MAX_FALL_SPEED_MULTIPLIER_MIN	最大下落倍率下限	0.75	限时道具叠加后最大下落速度倍率的最小值
73	PICKUP_MAX_FALL_SPEED_MULTIPLIER_MAX	最大下落倍率上限	1.6	限时道具叠加后最大下落速度倍率的最大值
74	PICKUP_MOVING_PLATFORM_SPEED_SCALE_MIN	移动平台倍率下限	0.65	限时道具叠加后移动平台速度倍率的最小值
75	PICKUP_MOVING_PLATFORM_SPEED_SCALE_MAX	移动平台倍率上限	1.6	限时道具叠加后移动平台速度倍率的最大值
76	PICKUP_DURATION_SWIFT_WIND	顺风靴持续时间	7000	顺风靴正面道具持续时间(ms)
77	PICKUP_DURATION_FEATHER_FALL	轻羽披风持续时间	6500	轻羽披风正面道具持续时间(ms)
78	PICKUP_DURATION_DASH_FUEL	冲刺燃料持续时间	8000	冲刺燃料正面道具持续时间(ms)
79	PICKUP_DURATION_GOLDEN_TOUCH	聚财核心持续时间	9000	聚财核心正面道具持续时间(ms)
80	PICKUP_DURATION_STICKY_BOOTS	黏靴持续时间	6000	黏靴负面道具持续时间(ms)
81	PICKUP_DURATION_HEAVY_CORE	重压核持续时间	5500	重压核负面道具持续时间(ms)
82	PICKUP_DURATION_SLOW_FIELD	乱流场持续时间	7000	乱流场负面道具持续时间(ms)
83	PICKUP_DURATION_SHORT_FUSE	短路芯片持续时间	6000	短路芯片负面道具持续时间(ms)
84	PICKUP_SWIFT_WIND_PLAYER_SPEED_MULTIPLIER	顺风靴移速倍率	1.2	顺风靴提供的玩家横向速度倍率
85	PICKUP_FEATHER_FALL_MAX_FALL_SPEED_MULTIPLIER	轻羽披风下落倍率	0.82	轻羽披风提供的最大下落速度倍率
86	PICKUP_DASH_FUEL_SEGMENT_BONUS	冲刺燃料段数加成	1	冲刺燃料提供的额外冲刺段数
87	PICKUP_GOLDEN_TOUCH_RADIUS_BONUS	聚财核心拾币半径	26	聚财核心提供的额外拾币范围
88	PICKUP_STICKY_BOOTS_PLAYER_SPEED_MULTIPLIER	黏靴移速倍率	0.82	黏靴施加的玩家横向速度倍率
89	PICKUP_HEAVY_CORE_MAX_FALL_SPEED_MULTIPLIER	重压核下落倍率	1.22	重压核施加的最大下落速度倍率
90	PICKUP_SLOW_FIELD_MOVING_PLATFORM_SPEED_SCALE	乱流场平台倍率	1.35	乱流场施加的移动平台速度倍率
91	PICKUP_SHORT_FUSE_SEGMENT_BONUS	短路芯片段数惩罚	-1	短路芯片施加的额外冲刺段数变化
92	BOSS_THROWER_MONSTER_ID	空投Boss怪物ID	3	上方投掷型Boss使用的怪物ID
93	BOSS_LEAPER_WEIGHT	跳扑Boss权重	1	Boss池中跳扑Boss的出现权重
94	BOSS_THROWER_WEIGHT	空投Boss权重	1	Boss池中空投Boss的出现权重
95	BOSS_THROWER_TOP_OFFSET	空投Boss顶部偏移	118	空投Boss游走时距离屏幕顶部的偏移
96	BOSS_THROWER_HORIZONTAL_PADDING	空投Boss边界留白	92	空投Boss横向游走时距离屏幕边缘的最小留白
97	BOSS_THROWER_PATROL_SPEED	空投Boss巡航速度	4.8	空投Boss在屏幕顶部游走的速度
98	BOSS_THROWER_REPOSITION_SPEED	空投Boss换位速度	6.4	空投Boss投掷后重新换位的速度
99	BOSS_THROWER_EVENT_DURATION_MS	空投Boss持续时间	12000	空投Boss单次事件停留时长(ms)
100	BOSS_THROWER_MAX_THROWS	空投Boss最大投掷次数	6	空投Boss单次事件最多投掷多少次
101	BOSS_THROWER_THROW_INTERVAL_MIN	空投Boss最短投掷间隔	1350	空投Boss两次投掷之间的最短间隔(ms)
102	BOSS_THROWER_THROW_INTERVAL_MAX	空投Boss最长投掷间隔	2200	空投Boss两次投掷之间的最长间隔(ms)
103	BOSS_THROWER_THROW_PAUSE_MS	空投Boss投掷停顿	260	空投Boss投掷前的短暂停顿(ms)
104	BOSS_THROWER_PROJECTILE_FALL_SPEED	空投Boss道具下落速度	1.15	空投Boss投掷物每帧的基础下落速度
105	BOSS_THROWER_PROJECTILE_DRIFT_X	空投Boss道具水平漂移	0.18	空投Boss投掷物每帧的基础水平漂移
106	BOSS_THROWER_PROJECTILE_SWAY_AMPLITUDE	空投Boss道具摆动幅度	12	空投Boss投掷物下落时的左右摆动幅度
107	BOSS_THROWER_PROJECTILE_SWAY_SPEED	空投Boss道具摆动速度	0.0045	空投Boss投掷物摆动的时间系数
108	BOSS_THROWER_POSITIVE_WEIGHT	空投Boss正面道具权重	0.72	空投Boss投掷正面道具的权重
109	BOSS_THROWER_NEGATIVE_WEIGHT	空投Boss负面道具权重	0.28	空投Boss投掷负面道具的权重
110	BOSS_THROWER_MULTI_THROW_CHANCE	空投Boss连投概率	0.35	空投Boss一次投出多个道具的概率
111	BOSS_THROWER_MULTI_THROW_COUNT	空投Boss连投数量	2	空投Boss触发连投时一次投出的道具数量
